datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,983,904,958,Dapur,Peralatan Dapur,Timbangan Dapur
2023-05-31,Tokopedia,983,3438,3455,Dapur,Peralatan Baking,Kertas Baking
2023-05-31,Tokopedia,983,3438,3456,Dapur,Peralatan Baking,Kocokan Telur
2023-05-31,Tokopedia,983,5395,5400,Dapur,Kemasan Makanan dan Minuman,Bento Box
2023-05-31,Tokopedia,983,5395,5404,Dapur,Kemasan Makanan dan Minuman,Box Kardus Makanan
2023-05-31,Tokopedia,983,908,3449,Dapur,Peralatan Masak,Saringan Masak
2023-05-31,Tokopedia,983,908,3450,Dapur,Peralatan Masak,Sendok Takar
2023-05-31,Tokopedia,983,1223,3537,Dapur,Penyimpanan Makanan,Food Warmer
2023-05-31,Tokopedia,983,1223,3535,Dapur,Penyimpanan Makanan,Ice - Rice Bucket
2023-05-31,Tokopedia,983,3440,3485,Dapur,Alat Masak Khusus,Chocolate Melter
2023-05-31,Tokopedia,983,3440,3486,Dapur,Alat Masak Khusus,Coffee & Tea Maker
2023-05-31,Tokopedia,983,911,1211,Dapur,Peralatan Makan & Minum,Piring & Mangkok Saji
2023-05-31,Tokopedia,983,911,970,Dapur,Peralatan Makan & Minum,Piring Makan
2023-05-31,Tokopedia,983,904,917,Dapur,Peralatan Dapur,Water Purifier
2023-05-31,Tokopedia,983,3438,3460,Dapur,Peralatan Baking,Kuas Kue
2023-05-31,Tokopedia,983,3438,3457,Dapur,Peralatan Baking,Loyang Kue
2023-05-31,Tokopedia,983,1215,3522,Dapur,Bekal,Botol Minum
2023-05-31,Tokopedia,983,1215,1218,Dapur,Bekal,Cetakan Bento
2023-05-31,Tokopedia,983,5395,5403,Dapur,Kemasan Makanan dan Minuman,Box Mika
2023-05-31,Tokopedia,983,5395,5402,Dapur,Kemasan Makanan dan Minuman,Food Pail
2023-05-31,Tokopedia,983,3439,3470,Dapur,Aksesoris Dapur,Alat Pemotong Serbaguna
2023-05-31,Tokopedia,983,3439,3473,Dapur,Aksesoris Dapur,Capit Makanan
2023-05-31,Tokopedia,983,908,953,Dapur,Peralatan Masak,Spatula & Sutil
2023-05-31,Tokopedia,983,908,950,Dapur,Peralatan Masak,Steamer
2023-05-31,Tokopedia,983,1223,1535,Dapur,Penyimpanan Makanan,Plastic Wrap
2023-05-31,Tokopedia,983,1223,3541,Dapur,Penyimpanan Makanan,Plastik Klip
2023-05-31,Tokopedia,983,3440,3484,Dapur,Alat Masak Khusus,Cotton Candy Maker
2023-05-31,Tokopedia,983,3440,3491,Dapur,Alat Masak Khusus,Donut Maker
2023-05-31,Tokopedia,983,911,1212,Dapur,Peralatan Makan & Minum,Pitcher Minuman
2023-05-31,Tokopedia,983,911,3517,Dapur,Peralatan Makan & Minum,Sedotan
2023-05-31,Tokopedia,983,3438,3459,Dapur,Peralatan Baking,Pisau Kue
2023-05-31,Tokopedia,983,3438,3454,Dapur,Peralatan Baking,Tatakan Kue
2023-05-31,Tokopedia,983,1215,1219,Dapur,Bekal,Cup Bento
2023-05-31,Tokopedia,983,1215,980,Dapur,Bekal,Kotak Makan
2023-05-31,Tokopedia,983,5395,5398,Dapur,Kemasan Makanan dan Minuman,Food Paper Bag
2023-05-31,Tokopedia,983,5395,5407,Dapur,Kemasan Makanan dan Minuman,Kemasan Minuman
2023-05-31,Tokopedia,983,3439,3476,Dapur,Aksesoris Dapur,Celemek
